meas_id,cmp_type,cmp_id,meas_type,meas_var,phase,dst,val,sigma
252,bus,2200,G,vi,"[1, 2, 3]",Normal,"[-0.5019481671168423, -0.5061220753762347, 1.0151914508295048]","[0.001, 0.001, 0.001]"
253,load,72,G,crd,1,Normal,-2.9284635581487544e-6,0.001
254,load,72,G,cid,1,Normal,4.078712946014785e-6,0.001
255,bus,485,G,vr,"[1, 2, 3]",Normal,"[0.8898057614508488, -0.8827733429691099, -0.0008943652369697477]","[0.001, 0.001, 0.001]"
256,bus,485,G,vi,"[1, 2, 3]",Normal,"[-0.516668930040645, -0.5150283590646345, 1.0170991285085083]","[0.001, 0.001, 0.001]"
257,load,45,G,crd,3,Normal,-5.4202946737352916e-6,0.001
258,load,45,G,cid,3,Normal,-1.225446806251309e-5,0.001
259,bus,904,G,vr,"[1, 2, 3]",Normal,"[0.8787610464666193, -0.8727029406850688, -0.0013209176460335153]","[0.001, 0.001, 0.001]"
260,bus,904,G,vi,"[1, 2, 3]",Normal,"[-0.5007644066188393, -0.5049383148782316, 1.0178237977571876]","[0.001, 0.001, 0.001]"
261,load,68,G,crd,1,Normal,-2.8657131598267185e-6,0.001
262,load,68,G,cid,1,Normal,4.503964323528511e-6,0.001
263,bus,1590,G,vr,"[1, 2, 3]",Normal,"[0.8836558022817672, -0.8775554071706948, -0.0015293233054652932]","[0.001, 0.001, 0.001]"
264,bus,1590,G,vi,"[1, 2, 3]",Normal,"[-0.5065042004721516, -0.5088453617885581, 1.019201843234697]","[0.001, 0.001, 0.001]"
265,load,56,G,crd,3,Normal,-4.470786279608657e-6,0.001
266,load,56,G,cid,3,Normal,-9.849783620348735e-6,0.001
267,bus,195,G,vr,"[1, 2, 3]",Normal,"[0.8837214003731304, -0.8773943476062797, -0.0010008964955044346]","[0.001, 0.001, 0.001]"
268,bus,195,G,vi,"[1, 2, 3]",Normal,"[-0.5059564451647957, -0.5084218499991169, 1.020884159683032]","[0.001, 0.001, 0.001]"
269,load,36,G,crd,2,Normal,8.480902596402557e-6,0.001
270,load,36,G,cid,2,Normal,7.635070209087245e-7,0.001
271,bus,405,G,vr,"[1, 2, 3]",Normal,"[0.8889997922215551, -0.8830714194912965, -0.0010271184285620878]","[0.001, 0.001, 0.001]"
272,bus,405,G,vi,"[1, 2, 3]",Normal,"[-0.5156386622333544, -0.5148012983031386, 1.0173083275872155]","[0.001, 0.001, 0.001]"
273,load,66,G,crd,2,Normal,1.0081210619609288e-5,0.001
274,load,66,G,cid,2,Normal,1.1005772638412133e-6,0.001
275,bus,653,G,vr,"[1, 2, 3]",Normal,"[0.8837453948397466, -0.8780307106657735, -0.001616953507740249]","[0.001, 0.001, 0.001]"
276,bus,653,G,vi,"[1, 2, 3]",Normal,"[-0.5070758521077947, -0.5094459005415238, 1.0183928881038822]","[0.001, 0.001, 0.001]"
277,load,48,G,crd,1,Normal,-4.986527574233797e-6,0.001
278,load,48,G,cid,1,Normal,6.7704579129176615e-6,0.001
279,bus,1154,G,vr,"[1, 2, 3]",Normal,"[0.8828806056052807, -0.8731196078186456, -0.0011055769496377344]","[0.001, 0.001, 0.001]"
280,bus,1154,G,vi,"[1, 2, 3]",Normal,"[-0.503817093210918, -0.5067014741493956, 1.0177707494173287]","[0.001, 0.001, 0.001]"
281,load,18,G,crd,1,Normal,1.4869383472694258e-5,0.001
282,load,18,G,cid,1,Normal,-1.4579376576131007e-5,0.001
283,bus,725,G,vr,"[1, 2, 3]",Normal,"[0.879001710235774, -0.8743716870408965, -0.002660686405332306]","[0.001, 0.001, 0.001]"
284,bus,725,G,vi,"[1, 2, 3]",Normal,"[-0.5025047229621931, -0.5069718603736489, 1.0158439322115214]","[0.001, 0.001, 0.001]"
285,load,30,G,crd,2,Normal,1.3698908291358369e-5,0.001
286,load,30,G,cid,2,Normal,1.5140641073190544e-6,0.001
287,bus,1984,G,vr,"[1, 2, 3]",Normal,"[0.8792653071765519, -0.8746695710414293, -0.0026775761394147416]","[0.001, 0.001, 0.001]"
288,bus,1984,G,vi,"[1, 2, 3]",Normal,"[-0.5027563370208546, -0.5070533125714729, 1.0158333128950452]","[0.001, 0.001, 0.001]"
289,load,3,G,crd,2,Normal,1.018222415430089e-5,0.001
290,load,3,G,cid,2,Normal,1.1130622002485488e-6,0.001
291,bus,2058,G,vr,"[1, 2, 3]",Normal,"[0.8777819944158557, -0.8748596490945696, -0.003327394793909301]","[0.001, 0.001, 0.001]"
292,bus,2058,G,vi,"[1, 2, 3]",Normal,"[-0.5020563885188901, -0.5069618294827283, 1.0150504219542262]","[0.001, 0.001, 0.001]"
